date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:47	2543/2543	---M--	200	added ('OK')	application/javascript	date:Fri,%2026%20Sep%202014%2004:33:42%20GMT	http://nit-it.com/locanda/js/jquery.customSelect.latest.min.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery.customSelect.latest.min.js	(from http://nit-it.com/locanda/index.html)
20:02:48	1464/1464	---M--	200	added ('OK')	application/javascript	date:Sat,%2027%20Sep%202014%2004:51:16%20GMT	http://nit-it.com/locanda/js/jquery-hoverIntent.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery-hoverIntent.js	(from http://nit-it.com/locanda/index.html)
20:02:49	14291/14291	---M--	200	added ('OK')	application/javascript	date:Sat,%2025%20Oct%202014%2015:15:14%20GMT	http://nit-it.com/locanda/js/style-switcher/switcher.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/style-switcher/switcher.js	(from http://nit-it.com/locanda/index.html)
20:02:49	1067/1067	---M--	200	added ('OK')	application/javascript	date:Thu,%2028%20Nov%202013%2003:57:20%20GMT	http://nit-it.com/locanda/js/jquery.counterup.min.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery.counterup.min.js	(from http://nit-it.com/locanda/index.html)
20:02:51	8044/8044	---M--	200	added ('OK')	application/javascript	date:Sun,%2004%20May%202014%2016:47:58%20GMT	http://nit-it.com/locanda/js/waypoints.min.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/waypoints.min.js	(from http://nit-it.com/locanda/index.html)
20:02:54	95786/95786	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20May%202014%2020:56:30%20GMT	http://nit-it.com/locanda/js/jquery.min.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery.min.js	(from http://nit-it.com/locanda/index.html)
20:02:54	46821/46821	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Jan%202014%2000:18:48%20GMT	http://nit-it.com/locanda/js/bootstrap-datepicker.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/bootstrap-datepicker.js	(from http://nit-it.com/locanda/index.html)
20:02:55	40561/40561	---M--	200	added ('OK')	application/javascript	date:Mon,%2006%20Oct%202014%2007:56:12%20GMT	http://nit-it.com/locanda/js/jquery.flexslider.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery.flexslider.js	(from http://nit-it.com/locanda/index.html)
20:02:55	22060/22060	---M--	200	added ('OK')	application/javascript	date:Sat,%2019%20Jan%202013%2019:06:28%20GMT	http://nit-it.com/locanda/js/jquery.prettyPhoto.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/jquery.prettyPhoto.js	(from http://nit-it.com/locanda/index.html)
20:02:55	8515/8515	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Oct%202014%2005:08:16%20GMT	http://nit-it.com/locanda/js/custom.js	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/js/custom.js	(from http://nit-it.com/locanda/index.html)
20:02:56	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Jun%202014%2022:14:12%20GMT	http://nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css)
20:02:57	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2028%20Jun%202014%2022:14:12%20GMT	http://nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regulard41dd41dd41d.eot?	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regulard41dd41dd41dd41d.eot	(from http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css)
20:02:59	1897/1897	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:40%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_background.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_background.png	(from http://nit-it.com/locanda/css/colorpicker.css)
